"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2017-01-17,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-01-17,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2017-01-18,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-20,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-20,"new","Moramanga",8,"MG33314","MG33314150",0,"Moramanga",1
2017-01-21,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-21,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2017-01-22,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-22,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2017-01-24,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-24,"transfer","Moramanga",8,"MG31301","MG31301004",0,"Moramanga",1
2017-01-25,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2017-01-27,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2017-01-28,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",4
2017-01-31,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-01-31,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2017-02-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-02-03,"new","Moramanga",8,"MG33314","MG33314293",0,"Moramanga",1
2017-02-04,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2017-02-06,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-02-06,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2017-02-06,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-02-06,"new","Moramanga",8,"MG33314","MG33314291",0,"Moramanga",1
2017-02-07,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-02-08,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2017-02-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2017-02-10,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
